LAD,AREA,PAY,PC,PC_0,PC_1
E06000001,Hartlepool ,494.3,TS22 5BF,TS22,5BF
E06000001,Hartlepool ,494.3,TS23 3TQ,TS23,3TQ
E06000001,Hartlepool ,494.3,TS24 0PA,TS24,0PA
E06000001,Hartlepool ,494.3,TS25 2RN,TS25,2RN
E06000001,Hartlepool ,494.3,TS26 0XW,TS26,0XW
E06000001,Hartlepool ,494.3,TS27 3PP,TS27,3PP
E06000002,Middlesbrough ,480.4,TS1  1QT,TS1, 1QT
E06000002,Middlesbrough ,480.4,TS17 7BU,TS17,7BU
E06000002,Middlesbrough ,480.4,TS2  1UT,TS2, 1UT
E06000002,Middlesbrough ,480.4,TS4  3LR,TS4, 3LR
E06000002,Middlesbrough ,480.4,TS5  4GE,TS5, 4GE
E06000002,Middlesbrough ,480.4,TS7  8PH,TS7, 8PH
E06000002,Middlesbrough ,480.4,TS8  0RT,TS8, 0RT
E06000002,Middlesbrough ,480.4,TS3  7HZ,TS3, 7HZ
E06000002,Middlesbrough ,480.4,TS6  6PU,TS6, 6PU
E06000002,Middlesbrough ,480.4,TS9  5WP,TS9, 5WP
E06000002,Middlesbrough ,480.4,TS90 8JA,TS90,8JA
E06000003,Redcar and Cleveland ,521.7,TS10 1DD,TS10,1DD
E06000003,Redcar and Cleveland ,521.7,TS11 6YS,TS11,6YS
E06000003,Redcar and Cleveland ,521.7,TS12 1JS,TS12,1JS
E06000003,Redcar and Cleveland ,521.7,TS14 6QB,TS14,6QB
E06000003,Redcar and Cleveland ,521.7,TS13 5TU,TS13,5TU
E06000004,Stockton-on-Tees ,509.1,DL2  1TB,DL2, 1TB
E06000004,Stockton-on-Tees ,509.1,TS15 0AD,TS15,0AD
E06000004,Stockton-on-Tees ,509.1,TS18 1EE,TS18,1EE
E06000004,Stockton-on-Tees ,509.1,TS16 0NE,TS16,0NE
E06000004,Stockton-on-Tees ,509.1,TS19 7EG,TS19,7EG
E06000004,Stockton-on-Tees ,509.1,TS20 1AA,TS20,1AA
E06000004,Stockton-on-Tees ,509.1,TS21 2WX,TS21,2WX
E06000005,Darlington ,508.2,DL1  1ED,DL1, 1ED
E06000005,Darlington ,508.2,DL3  0QD,DL3, 0QD
E06000005,Darlington ,508.2,DL4  2QA,DL4, 2QA
E06000005,Darlington ,508.2,DL8  9AA,DL8, 9AA
