Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 103.0 65.9 55.0 15.5 26.7 27.4 30.0 8.2 104.8 12.1 33.5 71.2 225.0 97.3 65.7 150.5 553.5
1996 32.1 50.0 20.3 9.5 22.2 14.1 42.9 82.0 17.9 42.1 95.0 33.4 153.2 51.9 139.0 154.9 461.3
1997 10.7 46.1 11.1 13.6 42.8 129.5 34.1 47.8 12.0 49.1 57.7 79.6 90.2 67.5 211.4 118.8 534.1
1998 61.6 6.9 50.4 117.8 15.6 96.4 33.0 34.3 76.5 93.3 59.1 68.7 148.1 183.8 163.7 228.9 713.5
1999 66.7 28.6 49.6 42.7 26.2 87.8 31.1 97.0 80.5 51.9 37.2 71.9 164.0 118.5 215.9 169.6 671.1
2000 21.4 59.5 16.5 93.3 92.1 17.3 60.3 39.5 81.1 124.8 109.5 63.5 152.7 201.9 117.1 315.4 778.8
2001 54.3 84.5 89.4 73.4 40.0 37.2 79.8 72.5 85.8 86.4 52.3 24.2 202.3 202.8 189.4 224.4 779.6
2002 45.6 56.9 35.7 32.6 58.1 34.2 69.0 55.3 30.7 84.9 105.9 99.5 126.7 126.4 158.6 221.4 708.4
2003 80.4 17.3 17.5 25.2 45.8 63.8 54.5 5.9 21.3 40.2 85.6 60.1 197.2 88.5 124.2 147.1 517.6
2004 84.0 37.6 33.1 58.5 44.7 39.4 70.4 116.3 29.6 88.8 45.4 29.7 181.6 136.3 226.1 163.8 677.3
2005 28.9 40.4 31.8 38.8 38.9 45.7 52.2 54.4 62.0 66.2 39.7 31.7 98.9 109.5 152.3 167.9 530.6
2006 15.6 38.1 37.9 34.3 81.2 20.1 29.6 107.2 57.3 66.5 66.8 55.4 85.4 153.3 156.9 190.7 610.0
2007 65.1 65.5 38.9 1.0 118.0 99.4 74.2 54.7 33.9 52.4 41.3 45.9 186.0 157.9 228.4 127.6 690.4
2008 70.8 18.7 83.1 45.7 68.2 43.1 54.5 80.6 51.6 60.5 81.0 27.2 135.4 196.9 178.3 193.1 684.9
2009 47.5 58.9 35.4 16.2 33.7 50.1 80.2 34.3 15.8 42.9 104.7 79.7 133.6 85.2 164.6 163.5 599.4
2010 49.5 82.4 34.1 15.1 25.6 30.4 30.1 121.6 59.1 60.6 51.1 25.7 211.5 74.8 182.1 170.7 585.1
2011 65.1 41.3 7.3 4.3 16.2 69.5 51.4 58.3 26.0 25.5 29.9 58.9 132.1 27.8 179.2 81.4 453.7
2012 42.0 17.9 34.1 112.7 48.3 98.8 107.4 47.8 40.5 88.2 74.5 97.9 118.8 195.1 253.9 203.2 810.0
2013 46.9 31.1 53.3 23.9 48.8 20.2 32.7 52.1 43.8 96.6 53.0 59.2 175.9 125.9 105.0 193.3 561.6
2014 102.3 73.4 21.7 19.5 93.1 37.6 59.3 95.8 18.8 79.5 87.9 50.3 234.9 134.4 192.7 186.3 739.3
2015 55.4 38.7 24.1 20.8 50.0 22.0 85.3 72.7 50.7 43.5 71.3 51.6 144.4 94.9 180.1 165.5 586.2
2016 69.1 28.8 65.0 56.0 46.8 100.3 27.9 27.9 45.3 34.3 68.1 20.3 149.5 167.8 156.2 147.7 589.9
2017 47.6 37.6 32.8 13.5 61.4 64.0 79.4 60.5 58.1 17.9 42.3 89.9 105.5 107.6 203.9 118.4 605.0
2018 54.1 40.3 70.9 66.7 38.4 6.5 21.1 64.3 30.7 55.7 50.2 62.7 184.2 176.0 91.9 136.6 561.4
