Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 209.9 171.0 99.7 32.4 67.8 35.9 73.3 17.6 104.8 98.5 82.2 55.5 602.5 200.0 126.7 285.5 1048.5
1996 57.0 112.7 46.1 77.9 74.1 47.1 58.3 91.2 58.9 157.3 156.8 61.8 225.1 198.1 196.5 373.0 999.2
1997 12.0 208.8 67.7 39.8 104.5 114.9 74.4 75.5 79.4 74.2 121.9 153.1 282.7 212.0 264.8 275.5 1126.3
1998 154.3 60.7 154.4 112.3 40.7 157.7 100.7 100.7 103.8 228.9 127.0 113.4 368.1 307.3 359.1 459.7 1454.5
1999 198.3 87.0 102.9 93.5 87.2 94.3 40.0 97.3 151.4 117.7 106.2 230.7 398.6 283.6 231.5 375.3 1406.4
2000 129.9 148.8 76.1 104.4 79.1 93.6 82.3 104.3 156.6 253.9 248.4 173.2 509.4 259.6 280.3 658.8 1650.7
2001 77.9 118.0 69.2 127.2 56.4 54.8 76.7 115.0 121.3 165.1 115.4 78.5 369.1 252.7 246.5 401.8 1175.3
2002 144.1 242.0 63.5 88.7 113.4 94.7 90.8 98.7 47.0 171.8 170.7 139.5 464.7 265.6 284.2 389.5 1465.0
2003 101.8 55.6 71.3 66.8 133.3 76.0 102.1 22.1 90.5 73.4 133.2 147.1 296.9 271.4 200.2 297.2 1073.3
2004 173.7 102.3 73.6 72.2 52.6 85.8 83.0 198.9 143.4 193.2 90.5 133.2 423.1 198.4 367.7 427.0 1402.3
2005 137.4 74.9 63.4 115.6 73.7 67.1 62.5 83.1 104.8 183.4 150.9 90.1 345.5 252.6 212.8 439.1 1206.9
2006 70.3 76.7 159.7 79.6 133.4 40.8 45.9 123.7 99.7 167.5 160.9 237.8 237.0 372.7 210.4 428.1 1396.0
2007 182.8 98.8 81.4 32.7 102.7 172.4 175.5 78.5 102.4 61.9 98.1 170.7 519.5 216.8 426.5 262.3 1357.9
2008 235.0 80.8 125.0 84.7 34.9 109.2 130.6 152.8 147.4 246.0 102.3 100.5 486.6 244.6 392.6 495.7 1549.3
2009 138.1 27.3 69.3 57.4 99.7 63.7 180.1 125.7 59.1 106.6 306.6 124.1 265.9 226.4 369.5 472.3 1357.7
2010 76.5 57.2 82.8 34.6 38.1 40.2 165.9 82.9 154.1 110.9 139.1 45.0 257.8 155.4 289.0 404.0 1027.1
2011 125.8 154.4 42.8 40.6 114.4 84.2 93.2 115.1 136.7 130.2 86.0 210.3 325.1 197.8 292.5 352.9 1333.7
2012 125.4 69.5 31.7 128.1 77.6 205.4 142.1 141.4 178.1 141.5 160.7 223.6 405.2 237.5 488.9 480.3 1625.2
2013 109.8 64.2 66.7 54.7 98.3 61.5 94.2 100.5 78.7 185.3 96.4 188.6 397.6 219.6 256.2 360.4 1198.8
2014 205.0 188.0 90.0 56.7 115.6 45.7 69.3 140.2 16.5 172.7 103.1 168.0 581.5 262.4 255.2 292.2 1370.8
2015 167.4 77.7 109.2 49.4 142.4 49.8 109.8 99.6 53.0 68.4 261.8 343.4 413.1 301.0 259.2 383.2 1531.8
2016 203.0 142.6 83.8 100.5 54.1 126.2 107.1 122.1 111.2 41.3 122.2 80.4 689.0 238.3 355.5 274.7 1294.6
2017 74.2 111.9 150.0 26.0 61.0 136.6 121.7 115.6 170.4 147.2 148.3 144.2 266.5 237.0 373.8 465.8 1407.0
2018 155.4 76.2 92.0 100.8 48.5 33.8 59.9 94.5 141.2 117.0 117.2 160.9 375.7 241.3 188.2 375.4 1197.3
