Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 224.4 159.2 81.5 39.9 62.2 19.7 47.9 13.7 130.6 106.4 137.1 113.8 598.6 183.5 81.3 374.1 1136.4
1996 124.0 117.4 72.2 77.5 98.4 37.6 35.7 97.3 51.0 146.2 173.7 45.6 355.2 248.1 170.7 370.8 1076.6
1997 16.9 173.9 40.4 29.3 93.1 125.1 40.1 164.4 51.0 95.7 200.7 136.4 236.3 162.8 329.6 347.4 1167.0
1998 175.1 26.8 141.9 152.8 36.9 156.0 84.2 51.0 126.3 233.5 123.6 143.9 338.3 331.7 291.2 483.4 1452.1
1999 200.2 79.3 74.6 116.2 68.4 83.2 19.3 131.9 170.2 101.5 95.9 246.5 423.4 259.1 234.3 367.7 1387.2
2000 65.6 150.6 47.8 163.9 95.4 51.5 69.1 89.6 150.3 244.6 229.5 226.7 462.7 307.1 210.2 624.4 1584.6
2001 120.0 104.8 144.8 119.9 40.1 42.6 99.0 98.0 63.0 186.3 101.9 55.5 451.5 304.7 239.6 351.2 1175.8
2002 163.0 205.3 71.5 76.5 152.5 59.7 73.9 53.6 33.4 180.4 240.5 170.5 423.8 300.4 187.2 454.3 1480.7
2003 107.1 69.6 54.1 65.1 86.7 64.0 114.0 23.6 27.1 83.3 125.8 138.8 347.2 206.0 201.7 236.3 959.4
2004 173.2 85.8 85.1 82.5 53.9 64.4 67.0 142.3 94.5 219.2 62.2 110.4 397.8 221.6 273.7 375.9 1240.6
2005 95.9 54.3 65.9 96.7 58.7 78.8 78.4 53.1 77.0 187.0 147.3 111.1 260.5 221.3 210.2 411.2 1104.0
2006 49.9 75.9 131.0 42.0 137.0 37.6 52.4 65.8 70.9 169.6 178.5 183.8 236.8 310.0 155.9 419.0 1194.4
2007 151.3 167.6 97.0 19.0 138.1 146.7 165.1 77.0 60.0 54.4 90.4 153.6 502.7 254.1 388.8 204.8 1320.2
2008 181.3 60.4 132.9 72.2 93.2 61.4 158.3 167.1 125.4 155.4 107.4 86.2 395.3 298.3 386.8 388.3 1401.2
2009 154.9 61.1 62.7 74.1 71.8 63.4 219.8 76.8 42.1 117.3 260.4 137.5 302.2 208.6 359.9 419.8 1341.8
2010 97.9 78.4 91.1 39.6 45.5 34.5 105.8 110.7 116.0 98.3 130.7 46.5 313.8 176.2 251.0 345.0 995.0
2011 134.5 98.0 28.0 19.1 59.0 102.9 75.8 80.4 99.0 113.7 86.9 171.5 279.0 106.2 259.0 299.6 1068.8
2012 104.3 45.7 28.8 174.6 60.0 194.0 132.0 150.5 94.0 154.4 184.3 243.6 321.5 263.5 476.4 432.7 1566.3
2013 144.8 61.0 91.0 46.8 92.0 49.3 45.2 87.1 72.9 212.5 104.3 217.5 449.4 229.8 181.6 389.8 1224.5
2014 248.9 227.1 71.5 92.6 105.5 60.4 43.4 135.1 13.1 151.1 161.1 108.2 693.6 269.6 238.8 325.2 1417.9
2015 165.3 90.2 67.6 25.9 101.3 53.8 102.5 145.3 74.7 75.6 171.9 214.8 363.7 194.9 301.6 322.3 1289.1
2016 215.4 132.7 100.2 58.2 72.7 103.0 41.8 81.4 113.3 45.1 123.2 57.0 562.9 231.0 226.2 281.6 1144.0
2017 89.1 92.3 122.1 26.0 67.5 100.8 115.5 88.2 138.3 77.8 106.6 160.8 238.5 215.6 304.5 322.7 1185.1
2018 163.1 62.6 166.1 104.8 50.4 11.9 48.9 93.3 96.5 108.0 179.7 180.6 386.5 321.3 154.1 384.2 1265.8
