Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 54.3 86.6 152.7 165.9 193.4 180.9 219.1 248.8 124.7 125.9 56.4 35.2 196.8 512.0 648.8 307.0 1643.8
1996 14.1 80.1 44.9 121.2 183.6 222.0 208.0 177.4 111.0 112.6 83.6 41.1 129.5 349.7 607.4 307.2 1399.7
1997 41.7 83.8 132.1 131.5 215.6 128.0 205.0 185.6 156.4 110.9 37.4 31.8 166.6 479.2 518.7 304.8 1460.0
1998 43.4 84.2 80.0 114.7 176.3 128.7 145.8 165.4 93.6 109.6 67.2 38.9 159.4 371.0 439.9 270.4 1247.8
1999 62.7 96.1 105.1 148.7 161.5 160.0 211.6 138.8 158.0 104.6 62.8 64.7 197.7 415.2 510.4 325.4 1474.6
2000 75.3 96.1 121.4 129.3 190.2 157.3 127.9 187.8 99.9 100.5 61.1 52.3 236.1 440.9 473.1 261.5 1399.2
2001 73.1 94.2 109.9 124.5 247.7 165.1 173.5 170.7 97.2 109.1 60.0 65.8 219.6 482.2 509.3 266.3 1490.9
2002 43.5 79.5 121.5 190.6 167.6 162.0 154.6 147.3 129.7 90.3 49.2 29.8 188.8 479.7 463.9 269.2 1365.6
2003 56.8 100.9 171.3 192.7 186.8 212.0 179.8 207.7 162.1 129.8 65.2 61.6 187.5 550.7 599.6 357.1 1726.7
2004 45.8 91.8 104.9 116.3 209.8 177.9 163.7 158.6 155.8 92.3 49.2 62.3 199.2 431.0 500.1 297.3 1428.4
2005 56.4 72.6 66.3 151.8 219.7 185.0 169.9 184.9 155.2 59.0 97.8 58.5 191.3 437.7 539.8 312.0 1477.0
2006 44.1 64.1 93.0 171.3 195.8 204.1 295.0 139.6 162.3 90.4 95.6 62.1 166.6 460.1 638.8 348.2 1617.4
2007 73.2 76.4 137.7 200.2 160.1 134.8 171.7 198.9 148.4 117.5 71.4 43.2 211.7 497.9 505.4 337.3 1533.3
2008 48.6 114.2 134.6 131.9 211.3 178.2 185.0 110.4 104.2 126.2 66.2 56.6 206.0 477.9 473.5 296.6 1467.4
2009 53.0 59.1 162.1 158.5 229.7 191.1 189.3 173.4 136.5 87.3 73.2 65.2 168.8 550.2 553.8 297.0 1578.4
2010 54.0 53.3 124.3 174.2 210.8 220.2 152.3 164.6 134.7 105.2 74.7 59.5 172.5 509.2 537.1 314.6 1527.8
2011 56.8 54.1 132.4 216.9 210.3 196.5 175.3 138.9 151.4 105.6 57.5 52.6 170.5 559.6 510.7 314.4 1548.3
2012 73.6 74.2 176.6 106.5 194.1 107.5 145.1 155.1 156.2 107.7 69.3 57.9 200.3 477.1 407.8 333.3 1423.8
2013 44.4 77.7 69.2 168.3 180.9 176.7 242.7 180.8 136.4 82.0 87.8 58.3 180.0 418.4 600.3 306.2 1505.2
2014 50.2 84.5 132.5 129.2 164.1 165.5 229.6 187.0 115.0 94.9 47.2 77.6 192.9 425.8 582.2 257.1 1477.3
2015 76.4 94.7 125.5 224.4 190.8 205.1 179.2 180.6 164.9 90.7 48.2 37.5 248.7 540.6 565.0 303.8 1618.0
2016 37.3 103.5 112.2 163.7 198.4 135.6 187.8 202.8 143.0 101.7 82.4 53.9 178.3 474.3 526.2 327.1 1522.3
2017 59.7 62.0 136.0 177.5 205.6 176.7 179.2 183.3 118.3 84.5 89.3 65.9 175.6 519.2 539.2 292.1 1538.1
2018 56.9 81.8 83.4 126.6 264.0 228.3 249.5 167.9 147.8 125.3 64.3 55.3 204.6 474.0 645.7 337.4 1651.2
