Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 39.6 59.7 114.9 175.8 179.1 213.7 200.1 257.1 127.8 104.4 60.0 42.0 136.8 469.8 671.0 292.2 1574.2
1996 19.9 78.0 69.7 104.4 179.4 218.5 191.7 169.9 137.0 85.8 64.9 49.9 139.9 353.5 580.1 287.7 1369.1
1997 51.5 62.2 103.9 124.1 213.8 131.7 210.9 186.9 130.3 111.4 31.8 29.0 163.6 441.8 529.5 273.5 1387.4
1998 40.4 59.5 73.5 129.5 195.8 128.5 134.3 165.8 119.4 86.9 58.2 34.4 128.9 398.8 428.6 264.5 1226.2
1999 45.8 65.7 96.2 147.2 144.5 186.8 213.0 132.6 148.7 107.0 59.0 36.9 146.0 387.9 532.4 314.7 1383.5
2000 49.7 80.7 103.4 134.4 230.0 158.0 169.6 169.0 106.4 80.0 35.0 38.9 167.3 467.8 496.6 221.5 1355.1
2001 68.3 77.1 116.4 127.7 218.0 158.1 173.4 158.1 95.7 97.0 44.1 67.0 184.2 462.2 489.6 236.8 1401.0
2002 36.6 58.9 117.2 171.7 166.1 147.6 136.2 139.2 144.2 90.7 53.7 38.9 162.5 455.1 423.0 288.6 1301.1
2003 64.7 94.8 167.4 193.7 171.8 200.6 147.0 183.0 131.8 115.3 60.2 46.9 198.4 532.9 530.6 307.4 1577.3
2004 36.1 102.3 111.2 112.1 213.8 164.8 149.5 152.4 136.1 83.0 37.7 49.0 185.2 437.2 466.7 256.8 1348.1
2005 39.0 73.4 85.3 140.7 212.7 169.7 162.5 191.0 129.0 62.1 76.9 45.4 161.4 438.7 523.2 268.0 1387.7
2006 51.4 73.8 87.8 168.4 171.3 198.6 269.7 129.3 149.7 89.2 70.4 36.8 170.7 427.5 597.6 309.3 1496.4
2007 49.2 72.4 133.9 211.3 177.6 144.0 155.1 170.4 130.0 109.9 51.7 48.2 158.4 522.8 469.5 291.6 1453.6
2008 34.3 109.4 116.9 135.8 195.7 170.2 153.0 93.2 99.0 103.2 56.3 55.1 191.8 448.4 416.4 258.4 1322.0
2009 53.4 43.8 128.7 165.3 194.6 191.3 149.0 145.1 107.6 82.1 47.2 46.9 152.2 488.6 485.5 237.0 1355.1
2010 56.5 61.3 118.1 183.5 201.4 217.4 101.1 156.5 126.7 113.9 74.9 49.3 164.6 502.9 475.1 315.4 1460.5
2011 53.1 49.7 141.5 211.9 171.0 185.5 190.9 125.3 120.3 77.6 65.1 23.7 152.1 524.3 501.7 263.0 1415.4
2012 55.3 55.8 149.5 120.7 208.4 110.8 125.4 137.4 118.5 93.2 58.5 43.6 134.8 478.6 373.6 270.2 1277.1
2013 29.3 79.0 95.9 160.5 168.9 188.5 268.5 144.7 100.2 62.6 69.4 37.7 151.8 425.3 601.8 232.2 1405.3
2014 33.2 64.6 124.5 138.7 134.2 189.2 237.6 165.0 131.5 75.2 58.5 46.5 135.5 397.4 591.8 265.2 1398.8
2015 49.6 68.0 107.3 211.7 155.1 194.6 158.1 156.9 167.2 83.8 32.0 24.0 164.1 474.1 509.7 283.0 1408.3
2016 31.4 78.1 112.7 162.2 227.0 155.0 144.9 165.6 126.6 98.3 68.4 38.2 133.5 501.9 465.5 293.2 1408.3
2017 50.9 39.9 116.6 151.1 221.5 145.3 172.4 145.5 99.2 63.6 64.1 38.3 129.1 489.1 463.3 226.9 1308.5
2018 43.5 90.7 84.5 121.5 256.6 257.1 250.1 133.9 121.1 99.5 58.1 29.4 172.5 462.7 641.1 278.7 1546.0
