Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 51.9 72.0 160.3 174.7 194.3 188.3 220.1 263.9 121.1 122.4 65.7 39.2 174.5 529.3 672.4 309.2 1674.0
1996 14.7 77.7 51.6 121.4 166.3 236.8 225.2 180.6 123.4 105.8 84.3 44.9 131.6 339.3 642.6 313.5 1432.7
1997 39.8 66.4 123.7 147.5 232.3 125.4 217.8 180.2 143.0 127.9 37.3 37.6 151.1 503.5 523.4 308.2 1478.9
1998 46.2 88.0 76.9 115.1 193.2 127.0 149.9 198.9 112.2 96.1 65.4 38.3 171.8 385.2 475.8 273.7 1307.2
1999 58.7 78.7 101.7 145.1 147.9 184.5 232.6 144.7 156.7 120.3 68.4 55.1 175.7 394.6 561.8 345.5 1494.4
2000 68.7 95.0 117.2 133.4 187.6 153.6 149.8 188.3 112.7 85.6 54.7 47.8 218.8 438.2 491.8 253.0 1394.4
2001 74.2 90.5 92.6 127.6 211.8 188.6 184.1 175.7 101.6 102.6 62.8 73.6 212.4 432.1 548.4 267.0 1485.7
2002 38.5 76.9 112.1 189.5 176.0 169.4 164.8 150.0 149.9 92.0 48.7 35.8 189.0 477.7 484.2 290.6 1403.7
2003 71.2 90.4 163.0 183.4 193.0 207.0 168.9 196.2 162.1 133.8 64.7 51.9 197.4 539.4 572.1 360.5 1685.5
2004 48.0 87.5 99.9 127.9 190.4 195.5 160.9 169.2 158.8 93.1 46.1 54.6 187.5 418.2 525.6 298.0 1431.9
2005 53.2 68.2 73.3 140.1 221.1 189.3 178.3 209.8 152.4 73.9 91.1 56.1 176.1 434.5 577.4 317.4 1506.8
2006 45.4 71.5 95.0 152.6 174.4 216.1 294.4 143.6 155.1 91.8 97.5 42.6 173.0 421.9 654.1 344.4 1579.9
2007 63.9 70.6 149.4 216.1 155.5 148.4 180.9 201.4 146.6 106.9 71.9 45.3 177.1 521.0 530.8 325.4 1557.0
2008 51.1 118.7 121.1 135.4 175.4 196.7 182.9 116.6 105.7 128.3 57.7 66.7 215.1 432.0 496.2 291.7 1456.3
2009 57.0 55.1 154.3 164.0 208.2 192.3 174.1 172.5 136.1 90.7 68.2 65.5 178.8 526.6 538.9 295.0 1538.0
2010 63.4 55.0 130.8 193.7 198.1 236.3 138.2 144.9 128.4 118.2 70.8 48.2 183.9 522.5 519.4 317.4 1525.8
2011 52.9 46.4 134.8 210.2 196.2 196.6 172.4 142.4 145.6 116.3 55.6 53.0 147.5 541.2 511.4 317.4 1522.4
2012 71.6 69.6 169.8 118.6 195.8 106.7 163.2 149.8 155.6 96.6 65.5 58.3 194.3 484.1 419.7 317.7 1421.0
2013 43.6 72.9 77.9 161.0 184.3 181.2 270.7 174.6 123.5 85.8 79.7 57.6 174.8 423.1 626.5 289.0 1512.7
2014 57.2 84.1 139.1 138.3 162.1 196.6 249.1 181.1 127.5 83.6 52.6 75.7 198.9 439.6 626.8 263.7 1547.0
2015 72.5 77.4 119.8 218.5 173.4 220.3 186.1 148.2 169.3 85.8 35.3 34.0 225.6 511.7 554.6 290.4 1540.7
2016 44.6 99.5 117.2 165.2 206.2 125.5 188.3 203.9 133.1 107.9 81.3 53.0 178.2 488.7 517.8 322.3 1525.9
2017 51.3 48.9 125.0 175.6 198.0 174.1 177.2 175.8 114.3 83.3 82.3 55.8 153.2 498.6 527.1 280.0 1461.6
2018 53.6 94.3 76.4 115.7 254.0 243.4 274.2 167.8 151.2 123.9 63.7 46.7 203.7 446.1 685.4 338.8 1665.0
