Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 3.7 5.3 4.2 7.8 10.4 13.1 16.9 17.5 12.4 12.0 7.0 1.8 4.91 7.47 15.88 10.46 9.37
1996 3.9 1.9 3.7 7.5 8.1 12.7 14.7 15.2 12.6 10.6 5.0 2.5 2.55 6.41 14.20 9.39 8.21
1997 2.3 5.6 7.2 8.1 10.5 12.7 15.3 17.1 12.8 9.2 7.9 5.2 3.38 8.61 15.08 9.94 9.51
1998 4.4 7.0 7.0 6.7 11.9 12.8 14.0 14.4 13.5 9.3 5.6 5.0 5.50 8.54 13.74 9.48 9.31
1999 4.7 4.6 6.2 8.4 11.7 12.5 16.1 14.8 14.2 9.8 7.0 4.0 4.75 8.80 14.49 10.35 9.54
2000 4.3 5.3 6.5 6.8 11.1 13.4 14.2 15.0 13.5 9.2 6.1 4.7 4.52 8.14 14.22 9.58 9.18
2001 2.6 3.3 4.0 6.5 11.6 12.8 15.4 15.0 12.3 12.3 7.2 3.2 3.54 7.37 14.41 10.64 8.88
2002 5.1 5.9 6.6 8.1 10.9 13.0 14.2 15.4 13.1 8.8 7.7 4.7 4.68 8.53 14.20 9.82 9.46
2003 3.9 3.3 6.7 9.1 10.9 14.5 16.1 16.2 13.0 8.1 7.5 4.2 3.97 8.89 15.63 9.53 9.50
2004 4.6 4.4 5.6 8.6 11.0 13.9 14.2 16.2 13.5 9.5 7.2 5.3 4.43 8.42 14.78 10.07 9.53
2005 5.6 3.8 6.7 7.9 10.2 14.1 15.3 14.9 13.8 11.8 5.7 4.4 4.95 8.28 14.79 10.45 9.56
2006 3.7 3.6 3.9 7.5 11.0 14.6 17.9 14.8 15.2 11.8 7.5 5.8 3.92 7.47 15.79 11.51 9.82
2007 6.2 5.0 6.3 10.1 10.8 14.1 14.1 14.4 12.8 10.3 7.2 4.4 5.70 9.08 14.19 10.09 9.67
2008 5.7 5.1 5.2 7.1 12.6 12.7 15.3 15.0 12.4 8.9 6.4 3.1 5.08 8.30 14.36 9.23 9.14
2009 2.9 3.7 6.1 8.9 10.8 13.9 15.0 15.2 12.9 10.5 7.4 2.5 3.22 8.60 14.70 10.30 9.18
2010 0.9 1.7 5.0 7.9 9.8 14.2 15.2 14.0 13.0 9.5 4.3 -0.9 1.70 7.58 14.48 8.95 7.92
2011 2.8 5.7 5.7 10.6 11.1 12.6 14.1 14.0 13.8 11.5 8.7 5.5 2.42 9.12 13.59 11.33 9.69
2012 4.8 4.0 7.9 6.4 10.5 12.4 14.2 15.3 11.9 8.5 5.9 4.0 4.78 8.31 13.96 8.76 8.84
2013 3.2 2.8 1.9 6.3 9.4 12.8 17.0 15.5 12.7 11.6 5.6 6.1 3.36 5.89 15.12 9.99 8.79
2014 5.0 5.3 6.7 9.4 11.3 14.1 16.1 13.9 13.8 11.2 7.7 4.8 5.48 9.13 14.68 10.90 9.96
2015 3.9 3.4 5.3 7.8 9.5 12.8 14.3 14.6 11.8 10.0 8.6 8.4 4.07 7.55 13.89 10.10 9.23
2016 5.0 4.0 5.2 6.6 11.6 14.5 15.1 15.4 14.6 9.9 4.8 6.2 5.84 7.79 15.01 9.79 9.43
2017 4.1 5.5 7.4 8.0 12.3 14.4 15.0 14.5 12.5 11.4 6.2 4.3 5.24 9.24 14.64 10.07 9.66
2018 4.3 2.5 3.8 8.4 12.1 15.1 17.0 15.2 12.3 9.5 7.4 6.2 3.74 8.09 15.75 9.76 9.52
