Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 5.0 7.1 5.9 9.3 12.0 14.5 18.9 19.6 13.9 13.3 7.9 2.8 6.25 9.09 17.72 11.72 10.88
1996 4.6 2.6 4.6 8.6 9.3 14.7 16.8 16.7 13.7 11.7 6.0 3.2 3.34 7.51 16.08 10.47 9.40
1997 1.9 6.5 8.4 8.9 11.9 14.7 16.9 19.4 14.8 10.8 8.7 6.1 3.76 9.76 17.05 11.40 10.77
1998 5.5 6.6 8.2 8.2 13.7 14.7 15.9 16.6 15.3 10.9 6.1 6.0 6.04 10.06 15.72 10.75 10.66
1999 6.0 5.1 7.5 9.6 13.3 14.3 18.1 16.9 16.1 10.9 7.7 5.0 5.73 10.12 16.45 11.57 10.92
2000 4.7 6.4 7.6 8.2 12.7 15.3 15.7 17.2 15.3 10.8 7.2 6.2 5.35 9.49 16.08 11.11 10.62
2001 3.9 5.1 6.0 8.2 12.7 14.7 17.7 17.4 13.8 13.8 7.3 3.7 5.04 9.00 16.63 11.63 10.39
2002 5.9 7.4 7.9 9.6 12.2 14.6 16.5 17.5 14.7 10.9 9.2 6.3 5.59 9.91 16.20 11.59 11.07
2003 4.5 4.3 7.9 9.6 12.2 16.3 17.9 19.2 14.7 9.6 8.7 5.4 5.05 9.89 17.84 10.98 10.89
2004 5.5 5.5 6.6 9.4 12.5 15.9 16.5 18.0 15.4 11.3 7.9 5.2 5.44 9.50 16.83 11.51 10.82
2005 6.0 4.2 7.0 9.3 11.8 16.0 17.3 16.6 15.8 13.6 6.4 4.3 5.19 9.37 16.66 11.94 10.74
2006 4.4 3.7 5.2 9.1 12.6 16.2 20.2 16.9 17.3 13.7 8.6 6.7 4.16 8.96 17.81 13.20 11.27
2007 7.2 6.5 7.6 11.9 12.7 15.7 16.0 16.1 14.4 11.0 7.4 5.3 6.77 10.72 15.94 10.96 11.01
2008 6.8 5.7 6.6 8.5 14.0 14.9 16.8 16.7 13.7 10.2 7.5 3.8 5.95 9.74 16.14 10.46 10.46
2009 2.9 4.4 7.2 10.3 12.7 15.5 16.8 17.4 15.0 11.9 9.3 3.6 3.67 10.06 16.57 12.08 10.61
2010 1.4 3.5 6.3 9.2 11.0 15.7 18.1 16.1 14.0 10.9 5.9 0.3 2.84 8.82 16.68 10.28 9.41
2011 4.4 6.5 7.0 12.4 12.8 14.5 15.7 16.2 15.6 13.0 10.1 6.3 3.61 10.70 15.49 12.88 11.22
2012 6.1 3.8 8.4 7.9 12.6 14.2 16.0 17.3 13.7 10.4 7.1 5.4 5.43 9.67 15.86 10.41 10.27
2013 3.9 3.2 3.4 7.6 10.7 14.2 18.7 17.6 14.4 12.8 6.7 6.3 4.18 7.24 16.88 11.31 10.01
2014 6.2 6.7 8.1 10.6 12.5 15.8 18.6 15.9 15.8 13.3 9.0 5.5 6.42 10.41 16.77 12.71 11.53
2015 4.9 4.1 6.9 9.6 11.7 15.0 16.9 16.6 13.2 11.3 10.0 10.5 4.87 9.43 16.17 11.50 10.95
2016 5.7 5.4 6.1 8.1 13.0 15.5 17.5 17.9 16.7 11.2 6.5 6.1 7.26 9.11 16.96 11.44 10.83
2017 3.7 6.4 9.2 9.5 13.5 16.9 17.8 16.4 14.0 12.7 7.1 5.2 5.36 10.75 17.06 11.28 11.07
2018 6.0 2.9 5.5 10.5 13.7 16.6 20.0 17.5 14.3 11.3 8.4 7.2 4.78 9.91 18.06 11.34 11.23
