Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 104.4 78.9 50.6 25.9 42.8 25.0 24.7 8.5 97.0 33.1 80.0 69.9 279.2 119.3 58.3 210.1 640.8
1996 41.1 69.8 24.6 39.0 41.9 24.0 40.6 63.9 23.0 53.7 97.0 79.7 180.9 105.6 128.5 173.7 598.5
1997 15.0 84.3 23.6 17.5 60.4 144.2 61.2 64.1 23.0 43.2 72.9 95.4 179.1 101.5 269.5 139.0 704.7
1998 93.6 14.7 68.8 118.9 52.8 105.8 58.6 47.0 57.7 114.2 71.2 59.3 203.7 240.5 211.4 243.0 862.6
1999 94.3 32.6 89.5 56.4 53.8 81.7 22.1 82.8 76.7 66.2 53.3 92.2 186.2 199.6 186.6 196.2 801.7
2000 47.5 53.0 30.6 135.0 72.3 57.4 56.3 58.9 109.8 119.0 147.1 85.9 192.8 237.8 172.6 375.8 972.6
2001 44.0 96.2 52.4 87.7 25.7 56.4 59.0 78.6 94.4 92.0 50.9 48.9 226.1 165.8 194.0 237.2 786.1
2002 58.1 104.6 40.1 31.9 62.4 54.1 92.2 88.6 31.1 123.9 107.0 109.1 211.6 134.4 234.9 262.0 903.0
2003 82.8 24.3 27.9 31.7 67.5 84.1 53.1 17.4 43.8 46.6 58.5 77.1 216.2 127.1 154.6 148.9 614.7
2004 106.9 52.4 41.9 84.0 30.1 73.3 81.4 166.6 35.9 126.4 35.4 37.9 236.4 155.9 321.4 197.7 872.3
2005 61.7 61.5 48.0 77.9 43.6 50.0 77.9 63.0 62.0 89.3 71.9 45.6 161.1 169.5 190.9 223.3 752.4
2006 29.1 49.5 85.9 38.7 96.2 18.7 30.3 107.7 73.2 82.9 67.1 88.7 124.2 220.8 156.6 223.2 767.9
2007 84.3 71.7 39.3 10.0 77.1 181.8 113.6 43.2 40.2 31.0 61.0 71.8 244.7 126.3 338.6 132.2 825.0
2008 137.1 33.3 75.8 77.3 25.5 75.9 106.2 111.0 108.2 74.2 67.3 59.7 242.2 178.5 293.0 249.7 951.5
2009 61.8 49.6 31.3 29.6 51.9 55.4 133.5 62.3 31.4 61.8 147.5 87.4 171.2 112.8 251.2 240.7 803.6
2010 69.5 71.7 65.1 21.4 22.1 42.7 61.1 76.6 83.9 65.0 118.2 40.7 228.7 108.6 180.5 267.2 738.3
2011 54.5 82.0 20.5 10.3 48.5 62.9 71.7 94.1 43.2 62.1 35.6 76.2 177.2 79.4 228.7 140.9 661.7
2012 47.2 24.2 21.9 140.9 62.3 141.5 96.3 87.6 95.3 86.4 111.8 127.7 147.6 225.1 325.4 293.5 1043.0
2013 69.8 34.3 60.1 22.1 76.4 40.8 55.9 61.2 44.1 111.5 52.5 76.7 231.8 158.6 157.9 208.1 705.5
2014 118.5 81.8 44.2 42.0 104.4 45.5 54.7 96.2 18.2 83.0 81.6 61.1 277.1 190.7 196.4 182.7 831.2
2015 62.7 37.0 45.6 25.6 82.5 34.9 85.3 73.2 39.1 65.0 116.6 148.0 160.8 153.8 193.3 220.7 815.5
2016 121.7 53.0 66.3 70.3 36.2 76.5 51.2 73.2 48.6 50.1 93.1 37.9 322.6 172.9 200.9 191.8 778.2
2017 39.4 65.9 63.9 19.4 42.9 116.0 81.7 64.4 85.0 50.1 69.1 56.8 143.2 126.1 262.0 204.2 754.5
2018 71.5 46.7 95.3 78.2 35.5 26.6 42.6 57.7 58.6 66.3 71.6 71.0 175.1 209.0 126.9 196.4 721.6
