Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 129.8 86.1 53.3 21.0 47.2 14.7 29.1 8.2 96.8 37.5 64.5 76.7 324.8 121.5 52.0 198.9 665.0
1996 45.0 66.2 38.3 47.4 43.9 29.3 36.2 67.6 22.9 64.9 94.5 54.9 187.9 129.5 133.1 182.3 611.1
1997 12.2 87.7 23.3 27.1 74.9 118.8 45.7 84.6 27.9 59.1 87.5 75.3 154.8 125.3 249.1 174.5 724.1
1998 94.5 17.2 83.3 116.1 23.8 117.9 38.7 45.6 81.6 139.6 59.8 69.7 187.0 223.2 202.3 281.1 887.8
1999 113.6 42.1 67.1 69.4 61.8 75.3 21.2 98.3 103.5 78.4 47.2 116.0 225.4 198.3 194.9 229.0 893.9
2000 37.1 76.5 32.0 136.6 72.2 41.5 53.3 55.3 113.9 143.8 141.6 114.5 229.5 240.8 150.1 399.3 1018.3
2001 51.3 81.4 71.4 93.9 53.7 37.2 69.1 75.1 66.9 116.0 45.7 32.6 247.2 219.0 181.4 228.6 794.3
2002 66.1 116.3 37.6 45.3 74.5 46.3 93.4 63.3 30.4 126.3 115.5 110.0 214.9 157.3 203.0 272.1 924.8
2003 64.5 28.2 32.9 41.2 65.6 67.0 64.1 16.2 29.1 48.1 70.0 85.8 202.7 139.8 147.3 147.2 612.7
2004 97.7 40.8 41.2 87.2 42.6 51.6 60.5 155.4 51.3 121.4 46.6 44.2 224.3 171.0 267.6 219.3 840.5
2005 42.3 44.5 47.6 61.7 38.1 54.6 61.7 53.5 62.6 95.8 65.6 55.9 131.0 147.4 169.8 223.9 683.9
2006 22.2 41.7 77.3 43.5 104.4 16.6 51.0 85.3 75.5 95.4 82.6 100.2 119.8 225.1 152.8 253.6 795.7
2007 91.8 84.8 55.2 8.7 112.5 167.4 144.7 41.0 38.4 41.4 64.3 78.3 276.9 176.4 353.1 144.1 928.6
2008 126.4 36.7 84.3 63.0 60.0 52.8 98.4 102.6 103.9 78.4 76.1 54.7 241.4 207.3 253.9 258.4 937.4
2009 66.0 40.6 32.3 40.4 56.8 68.9 127.0 53.4 23.7 57.2 140.5 74.0 161.3 129.4 249.3 221.4 780.6
2010 61.2 56.2 49.9 24.7 31.6 40.7 53.1 98.5 67.4 65.1 71.0 27.5 191.4 106.2 192.3 203.4 647.0
2011 56.8 72.3 11.9 7.8 53.9 56.0 48.4 56.9 41.4 52.5 42.8 93.2 156.6 73.7 161.3 136.6 594.0
2012 62.6 28.9 23.0 140.7 51.7 152.0 113.0 88.0 87.6 86.8 113.0 137.7 184.8 215.3 353.1 287.3 1085.0
2013 64.2 45.5 65.2 21.8 78.8 36.2 67.4 52.9 45.0 133.3 58.8 89.4 247.4 165.9 156.5 237.1 758.7
2014 148.6 108.7 47.3 46.1 102.9 51.7 48.7 102.5 13.6 85.1 92.9 72.6 346.7 196.2 202.9 191.6 920.5
2015 75.3 40.9 52.2 23.3 79.4 37.5 66.2 80.2 41.8 57.4 107.0 120.2 188.8 154.9 183.9 206.2 781.4
2016 98.8 69.8 82.7 62.7 54.8 99.5 35.1 64.8 59.0 28.3 95.6 34.0 288.9 200.3 199.4 182.9 785.2
2017 59.2 55.8 66.6 16.3 55.9 66.0 79.9 68.2 84.5 46.0 54.9 87.9 149.0 138.8 214.1 185.4 741.2
2018 84.3 34.6 105.7 82.3 57.3 12.0 32.0 55.4 61.7 56.9 62.7 93.4 206.8 245.3 99.5 181.3 738.4
