Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 56.2 85.2 185.1 172.9 222.3 177.0 267.1 272.9 137.9 143.6 63.1 36.5 207.7 580.3 717.0 344.5 1819.8
1996 23.2 87.9 68.7 159.3 176.1 246.6 227.9 195.1 136.1 137.8 94.7 57.3 147.6 404.0 669.6 368.7 1610.8
1997 52.2 61.7 137.6 172.3 247.4 157.0 222.6 219.3 170.9 147.9 57.8 36.2 171.2 557.2 598.9 376.5 1682.8
1998 52.8 117.4 73.0 116.3 212.3 153.2 163.6 221.8 122.6 97.5 78.8 40.8 206.4 401.6 538.5 298.9 1450.1
1999 69.4 91.3 104.8 172.9 197.0 213.4 250.3 160.5 150.7 137.4 72.0 74.1 201.5 474.7 624.2 360.0 1693.7
2000 72.3 106.6 110.3 144.6 187.3 183.0 129.9 218.7 124.3 93.5 71.3 46.2 252.9 442.3 531.5 289.1 1488.0
2001 85.3 76.5 76.2 141.0 244.0 204.4 202.2 200.8 111.9 111.2 77.4 76.3 208.0 461.2 607.4 300.5 1607.3
2002 50.8 84.7 116.2 205.8 183.6 179.5 176.9 161.2 151.8 92.0 56.4 24.4 211.8 505.5 517.7 300.2 1483.2
2003 60.2 109.7 167.2 197.5 200.5 211.4 203.1 228.7 207.6 150.3 72.0 56.7 194.3 565.2 643.2 430.0 1865.0
2004 54.1 69.9 105.4 151.5 188.4 199.4 185.8 181.7 169.2 103.8 52.8 56.0 180.7 445.3 566.9 325.8 1518.1
2005 74.9 62.8 70.2 146.4 218.4 193.2 161.3 198.3 157.5 108.8 96.0 65.9 193.8 435.1 552.8 362.2 1553.8
2006 50.0 65.1 113.2 152.6 159.7 241.1 287.2 152.7 169.5 113.0 106.4 44.8 181.0 425.6 681.0 388.9 1655.4
2007 64.7 63.5 168.8 213.9 138.7 160.6 190.7 183.7 162.0 99.3 77.6 54.8 173.1 521.4 535.0 338.9 1578.3
2008 56.7 122.6 110.6 164.5 205.5 199.5 214.2 132.3 116.6 128.7 52.4 67.7 234.1 480.6 546.1 297.7 1571.4
2009 52.6 59.0 142.6 183.9 221.0 204.8 206.2 212.8 156.5 86.5 79.9 65.0 179.4 547.6 623.8 322.9 1670.9
2010 52.2 54.8 115.8 215.0 213.0 230.1 191.7 145.0 129.2 105.4 55.2 41.3 172.1 543.9 566.8 289.7 1548.8
2011 40.4 39.3 113.8 215.7 233.5 209.2 165.8 153.0 174.7 151.9 64.4 66.5 121.0 563.0 528.0 391.0 1628.3
2012 71.6 83.3 155.6 137.4 171.0 147.0 172.4 189.3 178.9 91.9 74.8 51.2 221.4 463.9 508.6 345.6 1524.3
2013 50.7 59.6 66.9 193.3 193.7 169.2 263.1 217.5 144.2 92.9 75.8 62.5 161.5 453.9 649.8 312.9 1589.5
2014 65.4 102.1 157.8 156.0 186.1 211.2 231.7 200.7 132.3 114.1 52.2 79.7 229.9 500.0 643.6 298.6 1689.3
2015 71.4 88.5 145.2 216.1 193.9 228.3 202.1 162.6 176.3 97.8 41.7 44.4 239.6 555.2 593.0 315.8 1668.3
2016 54.1 93.2 128.5 175.0 205.9 131.7 226.1 240.1 141.8 105.4 86.6 55.0 191.7 509.5 597.9 333.8 1643.6
2017 67.3 56.4 128.4 182.4 183.7 209.9 188.3 191.1 124.0 89.4 86.7 60.6 178.6 494.5 589.3 300.2 1568.3
2018 60.2 101.5 77.0 132.8 268.0 249.2 292.1 208.1 181.5 162.8 84.5 55.2 222.3 477.8 749.4 428.9 1872.9
