Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 54.4 71.8 183.4 180.9 239.3 202.0 248.2 289.6 142.4 124.8 73.6 40.6 182.5 603.6 739.8 340.8 1850.9
1996 29.1 92.6 74.2 153.4 182.5 265.5 233.7 221.3 151.2 130.4 95.2 52.1 162.3 410.1 720.4 376.8 1681.2
1997 52.0 56.9 142.6 215.9 250.4 146.4 239.4 187.3 189.8 159.4 62.3 49.6 161.0 608.9 573.1 411.5 1752.1
1998 64.9 103.0 81.4 125.2 229.7 151.6 175.2 257.0 147.5 93.5 89.0 39.1 217.6 436.3 583.8 330.0 1557.1
1999 60.2 86.6 120.5 162.3 186.4 213.6 255.8 185.9 158.1 153.1 80.8 69.3 186.0 469.2 655.2 392.0 1732.5
2000 71.2 99.3 119.2 139.3 194.2 172.1 172.5 213.7 127.2 93.1 72.0 40.8 239.8 452.7 558.3 292.3 1514.6
2001 79.8 83.1 66.4 138.4 222.7 235.6 226.2 201.0 139.4 105.3 88.1 86.6 203.6 427.4 662.8 332.7 1672.4
2002 49.1 84.1 111.3 211.1 201.1 179.2 188.1 189.0 180.2 103.2 62.5 34.2 219.8 523.5 556.3 345.9 1592.9
2003 87.8 96.4 165.8 192.9 201.9 223.8 206.6 240.0 194.0 145.8 77.0 54.4 218.3 560.6 670.4 416.8 1886.4
2004 62.7 73.5 109.1 159.3 205.9 231.9 188.9 201.9 172.8 107.1 55.1 45.9 190.6 474.3 622.7 334.9 1614.0
2005 68.6 71.1 95.1 148.5 223.7 214.8 202.1 241.6 161.2 105.8 96.5 68.3 185.6 467.4 658.5 363.5 1697.4
2006 53.3 67.8 108.8 153.3 168.5 274.3 311.3 181.7 164.6 108.4 99.5 45.7 189.4 430.5 767.4 372.4 1737.2
2007 60.9 68.2 178.1 237.8 179.0 175.0 202.1 216.9 162.2 110.9 89.5 67.0 174.9 594.9 594.0 362.6 1747.6
2008 56.1 134.5 109.2 176.2 201.7 230.5 217.8 128.1 132.2 136.3 46.9 77.5 257.7 487.1 576.4 315.4 1647.1
2009 62.4 64.3 173.7 185.3 225.0 221.3 199.7 198.1 168.0 103.3 67.3 66.2 204.3 583.9 619.1 338.7 1734.7
2010 60.5 58.6 126.7 233.8 203.0 262.5 204.5 135.9 137.4 120.4 56.7 29.8 185.3 563.5 602.8 314.5 1629.7
2011 47.0 42.2 143.7 234.8 232.9 198.5 186.9 164.9 164.4 136.7 57.3 57.7 119.0 611.4 550.3 358.4 1667.0
2012 72.7 83.1 174.0 155.0 190.9 141.1 179.3 188.9 181.1 85.9 75.9 60.9 213.5 519.9 509.3 343.0 1588.8
2013 43.5 67.6 66.5 166.9 191.9 188.1 291.9 214.4 126.8 97.9 78.8 53.8 172.0 425.4 694.4 303.5 1588.3
2014 63.7 96.6 159.7 167.5 201.6 241.7 269.2 199.4 144.8 106.9 58.3 75.0 214.1 528.8 710.2 310.0 1784.3
2015 68.8 79.9 142.0 226.5 194.9 248.0 203.3 147.9 184.9 96.4 30.2 33.9 223.7 563.3 599.2 311.5 1656.6
2016 59.7 88.9 136.1 175.9 214.0 127.1 213.0 234.5 139.4 128.5 84.8 62.4 182.5 526.1 574.6 352.7 1664.5
2017 75.7 54.6 127.6 202.5 194.1 236.3 201.9 196.4 133.9 93.7 85.0 52.7 192.7 524.2 634.6 312.6 1654.3
2018 56.8 115.5 78.3 136.8 269.3 265.6 300.6 194.2 188.2 147.1 74.7 46.7 225.0 484.3 760.4 410.0 1873.8
