Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 38.7 50.8 141.8 170.3 216.9 228.9 211.4 281.2 140.7 106.0 75.5 44.3 135.4 529.0 721.6 322.3 1706.6
1996 25.6 102.8 72.0 134.6 187.0 242.9 230.0 204.1 164.5 86.6 73.9 50.4 172.7 393.5 677.1 324.9 1574.3
1997 47.7 57.6 119.7 196.7 237.8 116.2 233.2 154.5 151.0 121.2 58.5 57.6 155.6 554.1 503.8 330.6 1551.4
1998 59.8 85.7 75.3 131.5 218.2 150.3 141.5 223.9 127.1 97.3 77.4 38.5 203.1 425.1 515.7 301.9 1426.6
1999 53.9 62.9 110.3 153.4 141.4 181.8 236.5 159.8 156.9 124.8 78.4 47.6 155.3 405.1 578.1 360.1 1507.8
2000 56.9 84.3 128.3 144.7 178.2 169.6 189.3 178.1 117.6 90.1 56.3 42.1 188.9 451.2 536.9 264.0 1435.5
2001 70.0 92.4 76.8 149.6 224.0 208.8 189.8 170.1 139.3 99.3 67.8 83.0 204.6 450.3 568.7 306.4 1570.8
2002 34.5 70.4 99.9 176.0 189.0 148.1 166.1 168.6 172.4 93.9 63.8 39.1 187.8 465.0 482.8 330.1 1421.8
2003 79.7 87.2 160.0 193.3 186.7 205.5 147.0 204.1 153.3 114.0 68.5 44.2 206.0 540.0 556.6 335.7 1643.4
2004 52.1 98.0 120.0 139.5 220.7 219.0 157.8 183.1 146.1 99.2 48.9 44.7 194.3 480.2 559.8 294.1 1528.9
2005 52.7 81.5 88.5 155.5 205.4 194.7 191.6 233.6 149.2 87.2 88.3 52.1 178.9 449.5 619.9 324.7 1580.4
2006 62.1 65.8 93.2 165.5 166.5 252.5 270.6 165.1 150.2 89.3 89.9 44.1 180.0 425.2 688.2 329.3 1614.7
2007 51.6 69.8 161.1 221.0 189.5 143.2 180.3 210.8 150.4 111.2 68.3 54.3 165.6 571.5 534.3 329.9 1611.4
2008 41.7 113.2 122.6 185.7 184.2 219.6 169.3 101.2 132.5 113.5 57.0 73.9 209.3 492.5 490.1 303.0 1514.4
2009 61.7 54.1 155.9 172.2 204.5 215.7 157.7 153.4 156.3 91.1 60.0 62.7 189.7 532.6 526.8 307.4 1545.2
2010 72.7 75.1 132.4 217.2 207.0 262.1 145.7 150.5 144.4 128.8 75.7 60.3 210.5 556.6 558.3 349.0 1672.0
2011 58.3 52.9 154.9 219.1 178.9 197.3 174.8 140.8 130.5 96.7 63.3 35.9 171.6 552.9 512.8 290.5 1503.4
2012 59.1 69.1 167.9 140.2 210.0 110.8 167.4 145.7 145.2 92.1 64.7 54.0 164.1 518.1 423.9 302.0 1426.2
2013 45.7 68.9 95.0 163.3 209.2 199.0 302.9 178.6 111.2 91.7 72.8 46.2 168.6 467.6 680.5 275.6 1584.4
2014 47.5 86.9 129.5 157.8 176.0 240.5 247.5 186.3 158.1 83.1 66.6 65.0 180.6 463.3 674.3 307.8 1644.9
2015 62.3 84.2 132.1 225.5 178.6 237.0 177.4 144.4 185.7 99.1 31.6 29.6 211.5 536.2 558.7 316.4 1587.5
2016 49.6 81.3 138.2 174.9 214.6 132.3 167.5 195.5 124.7 123.7 78.0 46.2 160.5 527.7 495.4 326.4 1526.6
2017 64.2 56.5 94.1 185.1 200.7 182.4 175.3 156.8 114.7 83.9 74.2 49.5 166.9 479.9 514.4 272.7 1437.2
2018 52.8 109.0 87.8 124.8 233.7 261.0 264.0 141.2 140.6 130.8 64.5 22.7 211.2 446.3 666.2 335.9 1632.9
