Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 4.4 6.3 5.7 9.1 11.9 13.8 19.1 19.0 14.0 13.2 7.7 2.2 5.62 8.90 17.34 11.65 10.57
1996 3.7 2.3 3.9 8.5 9.2 14.8 16.8 17.0 13.8 11.5 5.8 2.8 2.73 7.18 16.23 10.36 9.19
1997 1.7 6.4 8.3 8.6 11.8 14.6 17.0 19.9 14.8 10.4 8.3 5.8 3.57 9.59 17.20 11.17 10.67
1998 5.1 7.0 8.0 8.4 13.0 15.0 16.1 16.6 15.2 10.7 5.2 5.5 5.92 9.83 15.92 10.38 10.51
1999 5.6 4.7 7.6 9.7 13.3 14.2 18.1 16.9 16.5 11.0 7.7 4.5 5.28 10.22 16.44 11.73 10.86
2000 4.8 6.0 7.4 8.5 12.4 15.6 15.2 17.5 15.7 10.8 7.0 5.7 5.07 9.46 16.10 11.13 10.56
2001 3.3 4.6 5.5 8.0 12.6 14.4 17.8 17.8 13.5 13.9 7.1 3.5 4.53 8.68 16.70 11.55 10.22
2002 5.4 7.1 7.6 9.5 12.2 15.2 16.8 18.0 14.7 10.3 8.5 5.8 5.29 9.77 16.67 11.16 10.94
2003 4.3 4.0 7.3 9.6 12.6 16.7 18.2 18.9 14.8 9.4 8.4 4.9 4.73 9.82 17.95 10.86 10.79
2004 4.9 5.5 6.7 9.7 12.2 16.0 16.6 18.4 15.4 11.2 7.7 5.0 5.10 9.53 17.00 11.42 10.78
2005 5.7 4.1 6.9 9.4 11.9 15.8 17.1 16.5 16.0 13.8 6.4 4.1 4.95 9.39 16.47 12.06 10.68
2006 4.2 3.9 5.0 8.8 12.7 16.0 20.5 16.6 17.7 13.6 8.4 6.3 4.09 8.82 17.71 13.23 11.18
2007 7.0 6.0 7.5 11.4 12.5 15.5 16.4 16.2 14.7 11.0 7.0 5.1 6.44 10.44 16.03 10.87 10.87
2008 6.7 5.4 6.3 8.3 13.4 14.8 17.2 17.3 14.0 9.9 7.2 3.7 5.72 9.34 16.45 10.36 10.36
2009 2.7 4.2 6.9 10.3 12.9 15.1 17.2 18.1 15.3 11.7 9.0 3.3 3.51 10.03 16.82 11.97 10.59
2010 1.4 2.9 6.5 9.1 10.9 15.5 18.8 16.4 14.3 11.0 5.6 0.0 2.53 8.80 16.92 10.31 9.39
2011 4.3 6.4 6.7 12.1 13.2 15.0 15.7 16.5 16.0 13.1 9.6 5.7 3.48 10.64 15.74 12.93 11.21
2012 5.6 3.7 7.8 7.7 12.2 14.2 16.2 17.8 13.8 10.1 6.8 4.7 5.00 9.24 16.07 10.23 10.07
2013 3.0 2.9 2.9 7.9 10.7 14.1 18.4 18.0 14.3 12.7 6.5 6.0 3.58 7.15 16.86 11.17 9.83
2014 5.8 6.6 8.2 10.7 12.9 15.4 18.6 16.1 15.6 13.3 8.9 5.3 6.11 10.60 16.71 12.61 11.48
2015 4.3 4.2 6.8 9.1 11.6 14.7 17.2 17.2 13.2 11.3 9.6 10.0 4.60 9.18 16.39 11.34 10.80
2016 5.3 5.1 5.9 7.8 12.7 15.3 17.9 18.2 17.2 11.3 6.2 5.8 6.85 8.84 17.16 11.55 10.75
2017 3.4 6.4 9.1 9.2 13.6 17.2 17.6 16.7 14.1 12.8 6.8 4.7 5.13 10.66 17.16 11.25 10.99
2018 5.4 2.7 5.2 10.5 13.4 16.2 19.9 17.9 14.6 11.6 8.3 6.7 4.32 9.69 18.02 11.54 11.10
