Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 3.0 5.1 4.3 7.7 10.5 12.5 17.0 17.1 12.6 11.9 6.8 1.5 4.36 7.47 15.59 10.48 9.20
1996 3.3 2.0 3.1 7.4 8.1 13.1 15.3 15.7 12.6 10.4 4.6 2.4 2.26 6.20 14.69 9.24 8.19
1997 2.0 5.6 7.4 8.0 10.1 12.6 15.6 17.5 12.8 9.0 7.5 5.0 3.28 8.47 15.29 9.77 9.45
1998 4.2 7.0 6.9 6.9 11.4 13.1 14.6 14.8 13.5 9.2 4.7 4.4 5.36 8.41 14.17 9.15 9.25
1999 4.5 4.2 6.5 8.5 11.7 12.8 16.3 15.0 14.8 9.9 7.0 3.2 4.38 8.90 14.71 10.58 9.57
2000 4.3 5.1 6.7 7.1 10.6 13.6 13.9 15.6 13.7 9.3 5.9 4.4 4.20 8.13 14.36 9.62 9.19
2001 2.5 3.3 3.8 6.5 11.2 12.7 15.9 15.8 12.4 12.5 6.7 3.0 3.38 7.19 14.83 10.53 8.89
2002 4.4 5.7 6.5 8.2 11.1 13.6 14.9 16.3 13.3 8.7 7.0 4.6 4.31 8.60 14.96 9.67 9.55
2003 3.9 3.0 6.6 8.7 11.4 15.1 16.6 16.5 13.5 8.4 7.2 3.9 3.88 8.89 16.08 9.70 9.61
2004 4.2 4.7 5.7 8.8 11.1 14.4 14.8 16.4 13.6 9.7 6.9 4.6 4.27 8.54 15.20 10.04 9.58
2005 5.1 3.8 6.3 7.8 10.4 14.4 15.6 15.2 14.1 12.0 5.7 3.8 4.54 8.17 15.07 10.60 9.55
2006 3.6 3.6 3.8 7.4 10.9 14.8 18.4 15.2 15.8 11.9 7.3 5.2 3.70 7.39 16.13 11.68 9.87
2007 5.9 5.1 6.3 10.2 10.8 13.6 14.8 14.9 13.2 10.2 6.8 4.0 5.41 9.06 14.43 10.04 9.66
2008 5.4 4.7 5.2 7.0 11.6 13.3 15.7 15.8 13.0 8.9 6.1 3.1 4.70 7.94 14.95 9.34 9.17
2009 2.7 3.7 6.4 8.9 11.2 13.5 15.6 16.2 13.6 10.5 7.3 2.1 3.15 8.83 15.10 10.48 9.34
2010 0.8 1.6 5.5 8.2 9.8 14.3 16.4 14.6 13.4 9.6 4.5 -1.2 1.52 7.85 15.08 9.17 8.16
2011 3.1 5.4 6.0 10.7 11.5 13.5 14.4 14.6 14.3 11.4 8.5 4.5 2.34 9.38 14.18 11.41 9.85
2012 4.3 3.9 7.8 6.4 10.3 12.5 14.6 15.7 12.5 8.2 5.8 3.6 4.25 8.19 14.26 8.81 8.81
2013 2.8 2.6 1.9 6.8 9.9 12.9 17.3 16.2 12.9 11.6 5.3 5.4 2.98 6.20 15.52 9.95 8.85
2014 4.5 5.3 6.8 9.3 11.5 14.3 16.7 14.4 13.9 11.3 7.6 4.4 5.05 9.19 15.10 10.94 10.01
2015 3.5 3.5 5.6 8.0 10.0 12.9 14.9 15.4 12.0 10.1 8.1 8.0 3.81 7.87 14.42 10.07 9.38
2016 4.4 3.9 5.3 6.4 11.0 13.5 16.0 16.0 15.2 10.2 4.8 5.6 5.48 7.59 15.19 10.06 9.38
2017 3.3 5.3 7.6 8.2 12.2 15.1 15.4 15.0 12.9 11.6 5.8 3.8 4.73 9.34 15.16 10.11 9.71
2018 4.1 2.1 3.8 8.6 12.2 14.6 17.8 16.2 13.0 10.0 7.4 5.4 3.37 8.21 16.21 10.12 9.64
