Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 5.3 6.6 5.4 8.4 10.9 13.9 17.4 18.7 13.2 12.8 7.8 3.1 6.32 8.27 16.70 11.29 10.34
1996 4.8 2.9 4.8 8.0 8.7 13.4 15.6 15.4 13.2 11.3 6.3 3.0 3.63 7.15 14.82 10.29 8.97
1997 2.4 6.3 7.8 8.7 11.2 13.4 15.6 17.6 13.8 10.8 8.7 6.1 3.85 9.26 15.58 11.10 10.24
1998 5.3 6.9 7.8 7.3 12.9 13.6 14.7 15.2 14.3 10.6 6.8 5.9 6.06 9.35 14.52 10.55 10.12
1999 5.9 5.4 6.9 9.0 12.4 13.1 16.8 15.9 14.7 10.5 7.7 5.5 5.74 9.45 15.26 10.98 10.35
2000 4.8 6.3 7.1 7.4 11.6 14.1 15.3 16.0 14.3 10.0 7.0 6.1 5.50 8.74 15.12 10.43 10.01
2001 4.1 4.9 5.6 7.5 11.9 13.7 15.9 16.0 13.4 13.0 7.6 4.1 5.04 8.35 15.20 11.36 9.84
2002 6.3 6.9 7.5 8.7 11.1 13.1 15.0 15.8 13.9 10.5 9.2 6.0 5.72 9.12 14.66 11.18 10.35
2003 4.6 4.5 7.8 9.5 11.1 14.8 16.4 17.6 14.0 9.2 8.4 5.7 5.04 9.46 16.29 10.50 10.32
2004 5.6 5.1 6.3 8.9 11.7 14.9 15.0 16.6 14.5 10.4 8.2 6.2 5.48 8.97 15.50 11.01 10.29
2005 6.3 4.2 7.0 8.7 10.8 14.9 16.4 15.6 14.7 12.7 6.5 5.0 5.62 8.84 15.62 11.33 10.28
2006 4.5 3.6 5.2 8.5 11.5 15.3 18.4 15.9 16.0 12.7 8.2 6.7 4.36 8.42 16.53 12.31 10.58
2007 7.0 6.4 7.1 11.2 11.8 14.7 14.6 15.1 13.7 11.1 7.8 5.7 6.75 10.02 14.83 10.88 10.55
2008 6.7 5.9 6.3 7.8 13.2 13.6 15.5 15.4 13.1 9.9 7.5 4.0 6.10 9.14 14.84 10.15 9.93
2009 3.4 4.3 6.8 9.1 11.4 14.7 15.5 15.7 13.7 11.7 8.8 3.7 3.91 9.08 15.29 11.39 9.92
2010 1.8 3.5 5.7 8.6 10.7 14.8 16.2 15.0 13.6 10.4 5.7 0.3 2.97 8.32 15.35 9.91 8.88
2011 3.9 6.7 6.8 11.5 11.6 13.3 14.9 14.8 14.6 12.4 9.9 6.7 3.53 9.97 14.34 12.31 10.60
2012 6.1 4.4 8.3 7.2 11.6 13.4 14.8 16.1 12.8 10.0 6.8 5.7 5.78 9.05 14.77 9.86 9.80
2013 4.6 3.6 3.3 6.9 9.8 13.5 17.8 16.3 13.9 12.6 6.8 6.6 4.66 6.69 15.87 11.11 9.68
2014 6.0 6.0 7.4 9.6 11.8 15.0 17.1 14.7 15.0 12.4 8.5 5.7 6.20 9.60 15.59 11.98 10.79
2015 5.3 4.1 6.3 9.2 10.7 13.7 15.2 15.0 12.6 10.9 9.9 10.0 5.06 8.72 14.65 11.11 10.27
2016 6.1 5.2 5.8 7.6 12.2 14.8 16.0 16.3 15.3 10.6 6.4 6.7 7.15 8.55 15.72 10.75 10.27
2017 5.0 6.2 8.3 8.8 12.7 15.3 16.2 15.2 13.3 12.2 7.4 5.7 5.96 9.93 15.54 10.98 10.55
2018 5.8 3.3 4.9 9.4 12.4 16.1 18.2 16.1 13.5 10.4 8.2 7.7 4.99 8.91 16.82 10.69 10.54
