Year JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC WIN SPR SUM AUT ANN
1995 4.0 5.9 4.9 8.5 11.2 13.7 18.2 18.5 13.1 12.4 7.1 1.7 5.21 8.23 16.85 10.86 9.96
1996 3.6 2.0 3.9 8.0 8.7 13.9 16.1 16.2 13.1 10.9 5.2 2.4 2.45 6.84 15.42 9.75 8.69
1997 1.8 6.2 7.9 8.5 11.0 13.6 16.3 18.6 13.6 9.5 8.0 5.3 3.38 9.16 16.21 10.36 10.06
1998 4.6 7.0 7.5 7.4 12.6 13.8 15.2 15.5 14.3 10.0 5.4 5.0 5.60 9.19 14.86 9.90 9.88
1999 5.1 4.8 6.9 9.1 12.6 13.5 17.3 15.8 15.2 10.2 7.2 4.2 4.94 9.53 15.55 10.87 10.18
2000 4.5 5.6 7.0 7.5 11.6 14.7 15.0 16.3 14.3 9.8 6.4 5.0 4.74 8.70 15.31 10.19 9.82
2001 2.7 4.0 4.7 7.3 12.1 13.9 16.8 16.6 12.9 12.9 7.0 3.0 3.90 8.01 15.77 10.97 9.53
2002 5.0 6.5 7.1 8.9 11.5 14.0 15.6 16.7 13.9 9.5 7.9 5.2 4.79 9.20 15.48 10.43 10.18
2003 4.1 3.4 7.1 9.3 11.8 15.8 17.2 17.8 14.1 8.7 7.7 4.4 4.26 9.41 16.94 10.12 10.15
2004 4.8 5.0 6.2 9.3 11.9 15.2 15.5 17.3 14.4 10.1 7.3 5.1 4.72 9.12 16.00 10.59 10.18
2005 5.6 3.9 6.8 8.7 11.1 15.3 16.5 16.0 14.9 12.6 5.8 4.1 4.92 8.85 15.93 11.11 10.14
2006 3.9 3.4 4.5 8.3 12.0 15.9 19.6 15.9 16.4 12.4 7.6 6.0 3.83 8.28 17.17 12.15 10.55
2007 6.6 5.5 6.8 11.0 11.6 14.9 15.1 15.5 13.7 10.6 7.0 4.5 6.06 9.77 15.14 10.42 10.25
2008 6.2 4.9 5.8 7.6 12.9 13.9 16.2 16.2 13.2 9.4 6.7 3.3 5.23 8.78 15.45 9.75 9.71
2009 2.7 3.8 6.7 9.6 11.8 14.6 15.9 16.4 14.0 11.1 8.1 2.6 3.25 9.36 15.67 11.04 9.81
2010 1.0 2.4 5.9 8.8 10.7 15.2 17.0 15.1 13.6 9.9 4.8 -0.9 2.00 8.45 15.77 9.42 8.65
2011 3.4 6.1 6.6 11.6 12.0 13.8 15.2 15.5 15.0 12.2 9.0 5.5 2.76 10.04 14.84 12.05 10.50
2012 5.1 3.7 8.0 6.9 11.5 13.4 15.3 16.3 12.7 9.0 6.1 4.3 4.81 8.85 15.02 9.26 9.39
2013 3.1 2.7 2.2 7.2 10.2 13.6 18.3 16.7 13.6 12.1 5.9 5.9 3.37 6.54 16.22 10.51 9.33
2014 5.2 5.8 7.3 9.9 12.0 15.0 17.5 14.8 14.7 11.9 7.9 4.9 5.59 9.75 15.81 11.52 10.61
2015 4.1 3.7 6.1 9.0 10.6 13.9 15.7 15.8 12.4 10.6 9.0 9.3 4.22 8.58 15.16 10.66 10.06
2016 5.1 4.6 5.3 7.2 12.1 14.9 16.7 16.8 15.7 10.4 5.4 5.7 6.35 8.23 16.16 10.50 10.01
2017 3.6 5.7 8.3 8.7 12.9 15.9 16.6 15.5 13.3 12.1 6.5 4.5 4.97 10.00 15.99 10.64 10.33
2018 4.9 2.5 4.5 9.4 13.1 16.0 19.1 16.7 13.5 10.3 7.7 6.5 4.01 9.01 17.27 10.51 10.40
