,Area,Date,Mean,Price,Count
18,AL1,2013,377221.6130434783,347043884,920
42,AL10,2013,245904.0956284153,90000899,366
66,AL2,2013,522641.8673740053,197035984,377
90,AL3,2013,458908.85739130434,263872593,575
114,AL4,2013,379800.30237580993,175847540,463
138,AL5,2013,643627.9130434783,355282608,552
162,AL6,2013,523763.24324324325,96896200,185
186,AL7,2013,240319.48888888888,118958147,495
210,AL8,2013,371726.2385786802,73230069,197
234,AL9,2013,482533.2913907285,72862527,151
258,B1,2013,130000.38626609441,30290090,233
282,B10,2013,106438.26530612246,10430950,98
306,B11,2013,119776.37055837564,23595945,197
330,B12,2013,121404.75806451614,7527095,62
354,B13,2013,208227.58353510895,85997992,413
378,B14,2013,150940.08842105264,71696542,475
402,B15,2013,256369.13531353135,77679848,303
426,B16,2013,154389.08994708996,29179538,189
450,B17,2013,243984.83456790124,98813858,405
474,B18,2013,105062.49056603774,11136624,106
498,B19,2013,115787.92708333333,11115641,96
516,B2,2013,281459.5238095238,5910650,21
540,B20,2013,145740.94252873564,25358924,174
564,B21,2013,102341.05421686747,16988615,166
588,B23,2013,118496.46120689655,54982358,464
612,B24,2013,132589.8686868687,39379191,297
636,B25,2013,111897.58333333333,13427710,120
660,B26,2013,127389.22857142857,53503476,420
684,B27,2013,134791.49800796813,33832666,251
708,B28,2013,182649.0325203252,67397493,369
732,B29,2013,156439.411627907,67268947,430
756,B3,2013,152146.11111111112,12323835,81
780,B30,2013,166206.6488764045,59169567,356
804,B31,2013,138472.375,95268994,688
828,B32,2013,140113.3216374269,47918756,342
852,B33,2013,108083.46774193548,26804700,248
876,B34,2013,118411.93396226416,25103330,212
900,B35,2013,95835.86956521739,4408450,46
924,B36,2013,145687.6326530612,49970858,343
948,B37,2013,672334.4466858789,233300053,347
972,B38,2013,158684.42,31736884,200
994,B4,2013,621250.0,4970000,8
1020,B42,2013,129820.78823529412,33104301,255
1044,B43,2013,154071.216957606,61782558,401
1068,B44,2013,102986.34054054054,38104946,370
1092,B45,2013,200911.86836518047,94629490,471
1116,B46,2013,184140.15286624205,28910004,157
1140,B47,2013,248636.8036809816,40527799,163
1164,B48,2013,264903.4767441861,22781699,86
1188,B49,2013,235132.75661375662,44440091,189
1212,B5,2013,132900.2328042328,25118144,189
1236,B50,2013,235898.2911392405,18635965,79
1260,B6,2013,92977.5,4834830,52
1284,B60,2013,222800.9200913242,97586803,438
1308,B61,2013,183114.08383233534,61160104,334
1332,B62,2013,181678.04281345566,59408720,327
1356,B63,2013,139098.3457711443,55917535,402
1380,B64,2013,152586.79245283018,24261300,159
1404,B65,2013,111588.32627118644,26334845,236
1428,B66,2013,115186.95652173914,18545100,161
1452,B67,2013,123640.47637795276,31404681,254
1476,B68,2013,129596.625,49765104,384
1500,B69,2013,112238.32751091704,25702577,229
1524,B7,2013,117973.68421052632,2241500,19
1548,B70,2013,112281.25714285714,19649220,175
1572,B71,2013,116667.39426523297,32550203,279
1596,B72,2013,242765.74545454545,40056348,165
1620,B73,2013,234647.646884273,79076257,337
1644,B74,2013,295325.0150943396,156522258,530
1668,B75,2013,232464.123853211,101354358,436
1692,B76,2013,204206.32865168538,72697453,356
1716,B77,2013,146577.48829953198,93956170,641
1740,B78,2013,256755.1762589928,71377939,278
1764,B79,2013,188163.27234042552,44218369,235
1788,B8,2013,98438.96341463414,16143990,164
1812,B80,2013,202755.79787234042,19059045,94
1836,B9,2013,102062.95192307692,10614547,104
1860,B90,2013,224595.51248357425,170917185,761
1884,B91,2013,341734.1698440208,197180616,577
1908,B92,2013,218897.90893169877,124990706,571
1932,B93,2013,403279.0737463127,136711606,339
1956,B94,2013,426284.3217391304,49022697,115
1980,B95,2013,334369.1909090909,36780611,110
2004,B96,2013,252380.9175257732,24480949,97
2028,B97,2013,183292.4644808743,100627563,549
2052,B98,2013,152907.2676056338,86851328,568
2076,BA1,2013,395163.3614906832,318106506,805
2100,BA10,2013,224828.0487804878,9217950,41
2124,BA11,2013,204976.6568627451,125445714,612
2148,BA12,2013,210140.89227166277,89730161,427
2172,BA13,2013,226331.40922190202,78536999,347
2196,BA14,2013,186850.56144067796,176386930,944
2220,BA15,2013,316125.77697841724,87882966,278
2244,BA16,2013,184696.6403508772,42110834,228
2268,BA2,2013,335421.1891685736,439737179,1311
2292,BA20,2013,173976.09547738693,34621243,199
2316,BA21,2013,155517.22003929273,79158265,509
2340,BA22,2013,246533.1739130435,56702630,230
2364,BA3,2013,211312.83945841392,109248738,517
2388,BA4,2013,214873.56106870229,56296873,262
2412,BA5,2013,247203.83823529413,84049305,340
2436,BA6,2013,213072.55737704918,51989704,244
2460,BA7,2013,248773.61111111112,17911700,72
2484,BA8,2013,258322.95081967214,15757700,61
2508,BA9,2013,188821.3765432099,30589063,162
2532,BB1,2013,141453.88535031848,88833040,628
2556,BB10,2013,94227.80147058824,38444943,408
2580,BB11,2013,68947.44918032787,21028972,305
2604,BB12,2013,115882.52927927928,51451843,444
2628,BB18,2013,116099.65900383142,30302011,261
2652,BB2,2013,123249.96502384737,77524228,629
2676,BB3,2013,101965.00455580866,44762637,439
2700,BB4,2013,139076.02272727274,73432140,528
2724,BB5,2013,94711.03870967742,73401055,775
2748,BB6,2013,152388.34234234234,33830212,222
2772,BB7,2013,232515.32447817837,122535576,527
